Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_973,start,O_673,28.264454960705457,28.264454960705457,0,2023-05-01 00:00,2023-05-01 00:00,0.0,110
#1,VEH_973,service,D_364,28.264454960705457,0.0,0,2023-05-01 02:06,2023-05-01 03:06,6.91,116.91
#1,VEH_973,finish,O_673,0.0,0.0,0,2023-05-01 05:23,2023-05-01 06:23,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_956,start,O_673,14.118325986815638,14.118325986815638,0,2023-05-01 00:00,2023-05-01 00:00,0.0,80
#2,VEH_956,service,D_1279,14.118325986815638,0.0,0,2023-05-01 01:03,2023-05-01 02:03,9.11,87.28
#2,VEH_956,finish,O_673,0.0,0.0,0,2023-05-01 03:06,2023-05-01 04:06,18.54,94.83
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 06:23,,
TOTAL,,,,,,,,,31.81,218.1
