Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_343,start,O_174,33.11112726342177,33.11112726342177,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#1,VEH_343,service,D_108,33.11112726342177,0.0,269.0,2023-05-01 08:31,2023-05-01 14:00,6.91,210.37
#1,VEH_343,finish,O_174,0.0,0.0,0,2023-05-01 14:27,2023-05-01 15:27,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_341,start,O_174,37.75556113231328,37.75556113231328,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#2,VEH_341,service,D_108,37.75556113231328,0.0,269.0,2023-05-01 08:31,2023-05-01 14:00,6.91,158.29
#2,VEH_341,finish,O_174,0.0,0.0,0,2023-05-01 14:27,2023-05-01 15:27,13.27,165.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_344,start,O_174,45.87461276838576,45.87461276838576,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#3,VEH_344,service,D_108,45.87461276838576,28.19497034993876,269.0,2023-05-01 08:31,2023-05-01 14:00,6.91,210.37
#3,VEH_344,service,D_108,28.19497034993876,0.0,0,2023-05-01 14:00,2023-05-01 15:00,6.91,210.37
#3,VEH_344,finish,O_174,0.0,0.0,0,2023-05-01 15:27,2023-05-01 16:27,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 08:27,,
TOTAL,,,,,,,,,39.82,605.74
