Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_297,start,O_144,39.27255524546571,39.27255524546571,0,2023-05-01 10:00,2023-05-01 10:00,0.0,200
#1,VEH_297,service,D_362,39.27255524546571,11.018095725132024,69.79,2023-05-01 12:50,2023-05-01 15:00,14.8,222.2
#1,VEH_297,service,D_314,11.018095725132024,0.0,0,2023-05-01 16:21,2023-05-01 17:21,42.68,264.03
#1,VEH_297,finish,O_144,0.0,0.0,0,2023-05-01 18:53,2023-05-01 19:53,81.88,322.83
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_294,start,O_144,35.76122683687996,35.76122683687996,0,2023-05-01 10:00,2023-05-01 10:00,0.0,0
#2,VEH_294,service,D_337,35.76122683687996,15.260531352573112,114.58,2023-05-01 12:05,2023-05-01 15:00,20.44,24.52
#2,VEH_294,service,D_337,15.260531352573112,0.0,0,2023-05-01 15:00,2023-05-01 16:00,20.44,24.52
#2,VEH_294,finish,O_144,0.0,0.0,0,2023-05-01 17:52,2023-05-01 18:52,43.51,52.21
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_254,start,O_144,26.646964686033385,26.646964686033385,0,2023-05-01 10:00,2023-05-01 10:00,0.0,80
#3,VEH_254,service,D_62,26.646964686033385,16.182570195058272,37.38,2023-05-01 13:23,2023-05-01 15:00,6.91,85.53
#3,VEH_254,service,D_425,16.182570195058272,0.0,0,2023-05-01 20:14,2023-05-01 21:14,22.3,97.84
#3,VEH_254,finish,O_144,0.0,0.0,0,2023-05-01 23:39,2023-05-02 00:39,31.73,105.38
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_324,start,O_144,32.8352528648928,32.8352528648928,0,2023-05-01 10:00,2023-05-01 10:00,0.0,250
#4,VEH_324,service,D_62,32.8352528648928,0.0,37.38,2023-05-01 13:23,2023-05-01 15:00,6.91,262.44
#4,VEH_324,finish,O_144,0.0,0.0,0,2023-05-01 18:19,2023-05-01 19:19,13.27,273.89
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_286,start,O_144,35.027904907376964,35.027904907376964,0,2023-05-01 10:00,2023-05-01 10:00,0.0,150
#5,VEH_286,service,D_323,35.027904907376964,0.0,134.74,2023-05-01 11:45,2023-05-01 15:00,28.91,184.69
#5,VEH_286,finish,O_144,0.0,0.0,0,2023-05-01 16:42,2023-05-01 17:42,56.97,218.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 14:39,,
TOTAL,,,,,,,,,227.36,972.67
