Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_906,start,O_603,25.98789095714788,25.98789095714788,0,2023-05-01 08:00,2023-05-01 08:00,0.0,80
#1,VEH_906,service,D_108,25.98789095714788,0.0,237.92,2023-05-01 09:02,2023-05-01 14:00,6.91,85.53
#1,VEH_906,finish,O_603,0.0,0.0,0,2023-05-01 15:02,2023-05-01 16:02,13.27,90.62
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_921,start,O_603,39.73893021786407,39.73893021786407,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#2,VEH_921,service,D_108,39.73893021786407,0.0,237.92,2023-05-01 09:02,2023-05-01 14:00,6.91,210.37
#2,VEH_921,finish,O_603,0.0,0.0,0,2023-05-01 15:02,2023-05-01 16:02,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_907,start,O_603,32.37666649720045,32.37666649720045,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#3,VEH_907,service,D_108,32.37666649720045,0.0,237.92,2023-05-01 09:02,2023-05-01 14:00,6.91,116.91
#3,VEH_907,finish,O_603,0.0,0.0,0,2023-05-01 15:02,2023-05-01 16:02,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_916,start,O_603,25.68559891112752,25.68559891112752,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#4,VEH_916,service,D_108,25.68559891112752,0.0,237.92,2023-05-01 09:02,2023-05-01 14:00,6.91,158.29
#4,VEH_916,finish,O_603,0.0,0.0,0,2023-05-01 15:02,2023-05-01 16:02,13.27,165.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 08:02,,
TOTAL,,,,,,,,,53.09,599.73
