Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_605,start,O_326,45.23240360635555,45.23240360635555,0,2023-05-01 02:00,2023-05-01 02:00,0.0,200
#1,VEH_605,service,D_2075,45.23240360635555,27.62808308409801,207.29,2023-05-01 03:33,2023-05-01 08:00,9.11,213.66
#1,VEH_605,service,D_1764,27.62808308409801,0.0,0,2023-05-01 10:48,2023-05-01 11:48,32.45,248.67
#1,VEH_605,finish,O_326,0.0,0.0,0,2023-05-01 13:30,2023-05-01 14:30,46.79,270.18
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_612,start,O_326,52.6917075161943,52.6917075161943,0,2023-05-01 02:00,2023-05-01 02:00,0.0,250
#2,VEH_612,service,D_1595,52.6917075161943,35.71887163917657,203.27,2023-05-01 03:37,2023-05-01 08:00,20.44,286.78
#2,VEH_612,service,D_37,35.71887163917657,0.0,0,2023-05-01 09:06,2023-05-01 10:06,41.14,324.05
#2,VEH_612,finish,O_326,0.0,0.0,0,2023-05-01 10:32,2023-05-01 11:32,47.5,335.5
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 12:30,,
TOTAL,,,,,,,,,94.28,605.67
