ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_192,1,O_62,2023-05-01 08:00,0,,,
20230501B467999_001,VEH_192,2,D_108,2023-05-01 08:50,249.92,60,2023-05-01 14:00,Yes
M18386975,VEH_192,3,D_273,2023-05-01 14:51,0,60,2023-05-01 15:51,Yes
,VEH_192,4,O_62,2023-05-01 16:34,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_185,1,O_62,2023-05-01 08:00,0,,,
M18384919,VEH_185,2,D_266,2023-05-01 08:30,270.04,60,2023-05-01 14:00,Yes
,VEH_185,3,O_62,2023-05-01 14:32,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_200,1,O_62,2023-05-01 08:00,0,,,
M18385551,VEH_200,2,D_273,2023-05-01 08:41,259.26,60,2023-05-01 14:00,Yes
,VEH_200,3,O_62,2023-05-01 14:43,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_183,1,O_62,2023-05-01 08:00,0,,,
20230501B468003_001,VEH_183,2,D_108,2023-05-01 08:50,249.92,60,2023-05-01 14:00,Yes
,VEH_183,3,O_62,2023-05-01 14:51,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
