ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_563,1,O_326,2023-05-01 02:00,0,,,
MF2305126290615,VEH_563,2,D_1595,2023-05-01 03:37,203.27,60,2023-05-01 08:00,Yes
,VEH_563,3,O_326,2023-05-01 09:25,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_604,1,O_326,2023-05-01 02:00,0,,,
MF2305156308733,VEH_604,2,D_2075,2023-05-01 03:33,207.29,60,2023-05-01 08:00,Yes
MF2305126290603,VEH_604,3,D_1764,2023-05-01 10:48,0,60,2023-05-01 11:48,Yes
,VEH_604,4,O_326,2023-05-01 13:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_584,1,O_326,2023-05-01 02:00,0,,,
20230501B468350_001,VEH_584,2,D_37,2023-05-01 02:33,266.53,60,2023-05-01 08:00,Yes
,VEH_584,3,O_326,2023-05-01 08:25,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
