ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_418,1,O_243,2023-05-01 08:00,0,,,
20230501B467195_001,VEH_418,2,D_7,2023-05-01 08:52,248.45,60,2023-05-01 14:00,Yes
,VEH_418,3,O_243,2023-05-01 14:47,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_475,1,O_243,2023-05-01 08:00,0,,,
N_20230501842175,VEH_475,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
N_20230501858602,VEH_475,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_475,4,O_243,2023-05-01 16:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_455,1,O_243,2023-05-01 08:00,0,,,
20230501B467936_001,VEH_455,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
20230501B468015_001,VEH_455,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
20230501B468039_001,VEH_455,4,D_108,2023-05-01 15:00,0,60,2023-05-01 16:00,Yes
,VEH_455,5,O_243,2023-05-01 17:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_441,1,O_243,2023-05-01 08:00,0,,,
20230501B467753_001,VEH_441,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
,VEH_441,3,O_243,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_452,1,O_243,2023-05-01 08:00,0,,,
20230501B468047_001,VEH_452,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
20230501B468094_001,VEH_452,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_452,4,O_243,2023-05-01 16:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_434,1,O_243,2023-05-01 08:00,0,,,
20230501B468111_001,VEH_434,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
,VEH_434,3,O_243,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_458,1,O_243,2023-05-01 08:00,0,,,
20230501B467710_001,VEH_458,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
20230501B467722_001,VEH_458,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_458,4,O_243,2023-05-01 16:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_464,1,O_243,2023-05-01 08:00,0,,,
20230501B468208_001,VEH_464,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
20230501B467749_001,VEH_464,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_464,4,O_243,2023-05-01 16:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_430,1,O_243,2023-05-01 08:00,0,,,
20230501B467714_001,VEH_430,2,D_108,2023-05-01 09:31,208.94,60,2023-05-01 14:00,Yes
,VEH_430,3,O_243,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
