ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_31,1,O_9,2023-05-01 00:00,0,,,
MF2304276175993,VEH_31,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
,VEH_31,3,O_9,2023-05-01 01:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_40,1,O_9,2023-05-01 00:00,0,,,
M18434024,VEH_40,2,D_301,2023-05-01 00:23,0,60,2023-05-01 01:23,Yes
M18434020,VEH_40,3,D_301,2023-05-01 01:23,0,60,2023-05-01 02:23,Yes
MF2305036201264,VEH_40,4,D_1180,2023-05-01 02:30,0,60,2023-05-01 03:30,Yes
,VEH_40,5,O_9,2023-05-01 03:48,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_26,1,O_9,2023-05-01 00:00,0,,,
MF2304276176045,VEH_26,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
,VEH_26,3,O_9,2023-05-01 01:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
