ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_451,1,O_243,2023-05-01 06:00,0,,,
20230501B468213_001,VEH_451,2,D_37,2023-05-01 07:10,229.54,60,2023-05-01 12:00,Yes
20230501B468099_001,VEH_451,3,D_37,2023-05-01 12:00,0,60,2023-05-01 13:00,Yes
,VEH_451,4,O_243,2023-05-01 14:05,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_438,1,O_243,2023-05-01 06:00,0,,,
20230501B467723_001,VEH_438,2,D_37,2023-05-01 07:10,229.54,60,2023-05-01 12:00,Yes
,VEH_438,3,O_243,2023-05-01 13:05,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_465,1,O_243,2023-05-01 06:00,0,,,
20230501B467769_001,VEH_465,2,D_37,2023-05-01 07:10,229.54,60,2023-05-01 12:00,Yes
,VEH_465,3,O_243,2023-05-01 13:05,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_432,1,O_243,2023-05-01 06:00,0,,,
20230501B467765_001,VEH_432,2,D_37,2023-05-01 07:10,229.54,60,2023-05-01 12:00,Yes
,VEH_432,3,O_243,2023-05-01 13:05,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
