Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_40,start,O_9,38.37334137190596,38.37334137190596,0,2023-05-01 06:00,2023-05-01 06:00,0.0,0
#1,VEH_40,service,D_283,38.37334137190596,19.37334137190596,164.19,2023-05-01 07:16,2023-05-01 11:00,9.11,13.66
#1,VEH_40,service,D_390,19.37334137190596,0.0,0,2023-05-01 13:05,2023-05-01 14:05,24.56,36.84
#1,VEH_40,finish,O_9,0.0,0.0,0,2023-05-01 15:10,2023-05-01 16:10,30.92,46.38
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_22,start,O_9,34.35302492408984,34.35302492408984,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#2,VEH_22,service,D_282,34.35302492408984,0.0,161.34,2023-05-01 07:19,2023-05-01 11:00,14.8,167.76
#2,VEH_22,finish,O_9,0.0,0.0,0,2023-05-01 12:19,2023-05-01 13:19,29.14,184.97
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 10:10,,
TOTAL,,,,,,,,,60.06,231.35
