Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_26,start,O_9,26.40437920449026,26.40437920449026,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#1,VEH_26,service,D_108,26.40437920449026,0.0,62.92,2023-05-01 11:57,2023-05-01 14:00,9.11,10.93
#1,VEH_26,finish,O_9,0.0,0.0,0,2023-05-01 18:00,2023-05-01 19:00,18.54,22.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_30,start,O_9,26.046199405616104,26.046199405616104,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#2,VEH_30,service,D_108,26.046199405616104,0.0,62.92,2023-05-01 11:57,2023-05-01 14:00,9.11,160.93
#2,VEH_30,finish,O_9,0.0,0.0,0,2023-05-01 18:00,2023-05-01 19:00,18.54,172.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_15,start,O_9,17.889352053758188,17.889352053758188,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#3,VEH_15,service,D_263,17.889352053758188,0.0,276.12,2023-05-01 08:24,2023-05-01 14:00,6.91,116.91
#3,VEH_15,finish,O_9,0.0,0.0,0,2023-05-01 14:23,2023-05-01 15:23,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_31,start,O_9,28.611473944201,28.611473944201,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#4,VEH_31,service,D_108,28.611473944201,0.0,62.92,2023-05-01 11:57,2023-05-01 14:00,9.11,10.93
#4,VEH_31,finish,O_9,0.0,0.0,0,2023-05-01 18:00,2023-05-01 19:00,18.54,22.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 11:00,,
TOTAL,,,,,,,,,68.88,340.0
