ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_297,1,O_144,2023-05-01 10:00,0,,,
M18386265,VEH_297,2,D_362,2023-05-01 12:50,69.79,60,2023-05-01 15:00,Yes
M18385437,VEH_297,3,D_314,2023-05-01 16:21,0,60,2023-05-01 17:21,Yes
,VEH_297,4,O_144,2023-05-01 18:53,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_294,1,O_144,2023-05-01 10:00,0,,,
M18385622,VEH_294,2,D_337,2023-05-01 12:05,114.58,60,2023-05-01 15:00,Yes
M18385472,VEH_294,3,D_337,2023-05-01 15:00,0,60,2023-05-01 16:00,Yes
,VEH_294,4,O_144,2023-05-01 17:52,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_254,1,O_144,2023-05-01 10:00,0,,,
MF2305016190707,VEH_254,2,D_62,2023-05-01 13:23,37.38,60,2023-05-01 15:00,Yes
M18386983,VEH_254,3,D_425,2023-05-01 20:14,0,60,2023-05-01 21:14,Yes
,VEH_254,4,O_144,2023-05-01 23:39,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_324,1,O_144,2023-05-01 10:00,0,,,
MF2305016190115,VEH_324,2,D_62,2023-05-01 13:23,37.38,60,2023-05-01 15:00,Yes
,VEH_324,3,O_144,2023-05-01 18:19,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_286,1,O_144,2023-05-01 10:00,0,,,
M18385449,VEH_286,2,D_323,2023-05-01 11:45,134.74,60,2023-05-01 15:00,Yes
,VEH_286,3,O_144,2023-05-01 16:42,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
