ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_167,1,O_50,2023-05-01 00:00,0,,,
MF2305116280560,VEH_167,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_167,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_163,1,O_50,2023-05-01 00:00,0,,,
MF2305116279518,VEH_163,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_163,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_175,1,O_50,2023-05-01 00:00,0,,,
MF2305116280542,VEH_175,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
MF2305116280524,VEH_175,3,D_1748,2023-05-01 01:55,0,60,2023-05-01 02:55,Yes
,VEH_175,4,O_50,2023-05-01 03:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
