ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_175,1,O_50,2023-05-01 10:00,0,,,
MF2305116280528,VEH_175,2,D_1842,2023-05-01 10:46,194.22,60,2023-05-01 15:00,Yes
,VEH_175,3,O_50,2023-05-01 15:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_162,1,O_50,2023-05-01 10:00,0,,,
MF2305116280564,VEH_162,2,D_1842,2023-05-01 10:46,194.22,60,2023-05-01 15:00,Yes
,VEH_162,3,O_50,2023-05-01 15:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_169,1,O_50,2023-05-01 10:00,0,,,
MF2305116280546,VEH_169,2,D_1842,2023-05-01 10:46,194.22,60,2023-05-01 15:00,Yes
,VEH_169,3,O_50,2023-05-01 15:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
