Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_182,start,O_62,7.274898584140953,7.274898584140953,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#1,VEH_182,service,D_359,7.274898584140953,0.0,192.5,2023-05-01 06:48,2023-05-01 11:00,6.91,116.91
#1,VEH_182,finish,O_62,0.0,0.0,0,2023-05-01 11:45,2023-05-01 12:45,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_187,start,O_62,36.74993009563477,36.74993009563477,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#2,VEH_187,service,D_267,36.74993009563477,0.0,172.59,2023-05-01 07:07,2023-05-01 11:00,9.11,160.93
#2,VEH_187,finish,O_62,0.0,0.0,0,2023-05-01 12:17,2023-05-01 13:17,18.54,172.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 07:17,,
TOTAL,,,,,,,,,31.81,295.51
