ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_343,1,O_174,2023-05-01 08:00,0,,,
20230501B468119_001,VEH_343,2,D_108,2023-05-01 08:31,269.0,60,2023-05-01 14:00,Yes
,VEH_343,3,O_174,2023-05-01 14:27,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_341,1,O_174,2023-05-01 08:00,0,,,
20230501B468115_001,VEH_341,2,D_108,2023-05-01 08:31,269.0,60,2023-05-01 14:00,Yes
,VEH_341,3,O_174,2023-05-01 14:27,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_344,1,O_174,2023-05-01 08:00,0,,,
20230501B468316_001,VEH_344,2,D_108,2023-05-01 08:31,269.0,60,2023-05-01 14:00,Yes
20230501B468321_001,VEH_344,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_344,4,O_174,2023-05-01 15:27,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
