Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_963,start,O_673,23.14808483898248,23.14808483898248,0,2023-05-01 06:00,2023-05-01 06:00,0.0,80
#1,VEH_963,service,D_278,23.14808483898248,18.14808483898248,165.39,2023-05-01 07:15,2023-05-01 11:00,35.49,108.4
#1,VEH_963,service,D_279,18.14808483898248,0.0,0,2023-05-01 12:03,2023-05-01 13:03,88.96,151.17
#1,VEH_963,finish,O_673,0.0,0.0,0,2023-05-01 14:50,2023-05-01 15:50,120.7,176.56
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_976,start,O_673,28.23340616693156,28.23340616693156,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#2,VEH_976,service,D_37,28.23340616693156,0.0,243.32,2023-05-01 06:57,2023-05-01 12:00,20.44,130.44
#2,VEH_976,finish,O_673,0.0,0.0,0,2023-05-01 12:54,2023-05-01 13:54,43.51,153.51
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_991,start,O_673,41.50437604796112,41.50437604796112,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#3,VEH_991,service,D_37,41.50437604796112,16.01744744939964,243.32,2023-05-01 06:57,2023-05-01 12:00,20.44,174.52
#3,VEH_991,service,D_359,16.01744744939964,0.0,0,2023-05-01 12:43,2023-05-01 13:43,42.32,200.78
#3,VEH_991,finish,O_673,0.0,0.0,0,2023-05-01 14:06,2023-05-01 15:06,81.52,247.82
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_1010,start,O_673,36.6097708199315,36.6097708199315,0,2023-05-01 06:00,2023-05-01 06:00,0.0,200
#4,VEH_1010,service,D_286,36.6097708199315,0.0,80.53,2023-05-01 08:39,2023-05-01 11:00,29.67,244.51
#4,VEH_1010,finish,O_673,0.0,0.0,0,2023-05-01 14:14,2023-05-01 15:14,58.88,288.31
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_971,start,O_673,28.476460379397697,28.476460379397697,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#5,VEH_971,service,D_37,28.476460379397697,17.24636464155588,243.32,2023-05-01 06:57,2023-05-01 12:00,20.44,130.44
#5,VEH_971,service,D_377,17.24636464155588,0.0,0,2023-05-01 13:25,2023-05-01 14:25,26.72,136.72
#5,VEH_971,finish,O_673,0.0,0.0,0,2023-05-01 16:54,2023-05-01 17:54,41.06,151.06
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,VEH_1014,start,O_673,47.40406452111175,47.40406452111175,0,2023-05-01 06:00,2023-05-01 06:00,0.0,250
#6,VEH_1014,service,D_359,47.40406452111175,26.738495908112817,213.69,2023-05-01 06:26,2023-05-01 11:00,39.77,321.58
#6,VEH_1014,service,D_286,26.738495908112817,0.0,0,2023-05-01 13:23,2023-05-01 14:23,61.11,360.0
#6,VEH_1014,finish,O_673,0.0,0.0,0,2023-05-01 17:38,2023-05-01 18:38,90.31,412.56
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#7,VEH_968,start,O_673,28.762471003992832,28.762471003992832,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#7,VEH_968,service,D_425,28.762471003992832,0.0,216.04,2023-05-01 06:24,2023-05-01 11:00,9.11,119.11
#7,VEH_968,finish,O_673,0.0,0.0,0,2023-05-01 11:23,2023-05-01 12:23,18.54,128.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#8,VEH_996,start,O_673,37.08608981301778,37.08608981301778,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#8,VEH_996,service,D_279,37.08608981301778,0.0,205.41,2023-05-01 07:35,2023-05-01 12:00,34.8,191.76
#8,VEH_996,finish,O_673,0.0,0.0,0,2023-05-01 13:47,2023-05-01 14:47,66.53,229.84
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#9,VEH_1012,start,O_673,51.357988891073,51.357988891073,0,2023-05-01 06:00,2023-05-01 06:00,0.0,250
#9,VEH_1012,service,D_362,51.357988891073,29.69955968334333,219.32,2023-05-01 06:21,2023-05-01 11:00,28.91,302.04
#9,VEH_1012,service,D_429,29.69955968334333,0.0,0,2023-05-01 12:53,2023-05-01 13:53,54.6,348.28
#9,VEH_1012,finish,O_673,0.0,0.0,0,2023-05-01 16:12,2023-05-01 17:12,60.96,359.73
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#10,VEH_984,start,O_673,39.17805556420186,39.17805556420186,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#10,VEH_984,service,D_37,39.17805556420186,0.0,243.32,2023-05-01 06:57,2023-05-01 12:00,20.44,174.52
#10,VEH_984,finish,O_673,0.0,0.0,0,2023-05-01 12:54,2023-05-01 13:54,43.51,202.21
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 12:38,,
TOTAL,,,,,,,,,625.5,2350.13
