ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_998,1,O_673,2023-05-01 08:00,0,,,
M18385654,VEH_998,2,D_327,2023-05-01 08:20,280.23,60,2023-05-01 14:00,Yes
20230501B467965_001,VEH_998,3,D_108,2023-05-01 15:28,0,60,2023-05-01 16:28,Yes
,VEH_998,4,O_673,2023-05-01 17:58,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1022,1,O_673,2023-05-01 08:00,0,,,
20230501B467888_001,VEH_1022,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
,VEH_1022,3,O_673,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1020,1,O_673,2023-05-01 08:00,0,,,
M18385659,VEH_1020,2,D_373,2023-05-01 10:17,162.54,60,2023-05-01 14:00,Yes
,VEH_1020,3,O_673,2023-05-01 16:40,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_992,1,O_673,2023-05-01 08:00,0,,,
M18385409,VEH_992,2,D_273,2023-05-01 09:21,218.52,60,2023-05-01 14:00,Yes
,VEH_992,3,O_673,2023-05-01 15:29,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_989,1,O_673,2023-05-01 08:00,0,,,
20230501B467825_001,VEH_989,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
20230501B467866_001,VEH_989,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_989,4,O_673,2023-05-01 16:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_953,1,O_673,2023-05-01 08:00,0,,,
20230501B467893_001,VEH_953,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
,VEH_953,3,O_673,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1005,1,O_673,2023-05-01 08:00,0,,,
20230501B467969_001,VEH_1005,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
20230501B467664_001,VEH_1005,3,D_7,2023-05-01 15:11,0,60,2023-05-01 16:11,Yes
,VEH_1005,4,O_673,2023-05-01 16:48,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1026,1,O_673,2023-05-01 08:00,0,,,
20230501B467835_001,VEH_1026,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
,VEH_1026,3,O_673,2023-05-01 15:30,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1019,1,O_673,2023-05-01 08:00,0,,,
20230501B468007_001,VEH_1019,2,D_108,2023-05-01 09:26,214.33,60,2023-05-01 14:00,Yes
20230501B468243_001,VEH_1019,3,D_7,2023-05-01 15:11,0,60,2023-05-01 16:11,Yes
,VEH_1019,4,O_673,2023-05-01 16:48,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_954,1,O_673,2023-05-01 08:00,0,,,
20230501B467829_001,VEH_954,2,D_7,2023-05-01 08:38,262.29,60,2023-05-01 14:00,Yes
,VEH_954,3,O_673,2023-05-01 14:36,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1017,1,O_673,2023-05-01 08:00,0,,,
M18385650,VEH_1017,2,D_273,2023-05-01 09:21,218.52,60,2023-05-01 14:00,Yes
,VEH_1017,3,O_673,2023-05-01 15:29,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
