Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_579,start,O_326,19.068625942311265,19.068625942311265,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#1,VEH_579,service,D_2008,19.068625942311265,0.0,211.38,2023-05-01 09:29,2023-05-01 14:00,9.11,9.11
#1,VEH_579,finish,O_326,0.0,0.0,0,2023-05-01 15:12,2023-05-01 16:12,18.54,18.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_552,start,O_326,23.483282147801063,23.483282147801063,0,2023-05-01 08:00,2023-05-01 08:00,0.0,80
#2,VEH_552,service,D_1414,23.483282147801063,12.698409043062796,265.42,2023-05-01 08:35,2023-05-01 14:00,20.44,96.35
#2,VEH_552,service,D_108,12.698409043062796,0.0,0,2023-05-01 15:12,2023-05-01 16:12,42.32,113.85
#2,VEH_552,finish,O_326,0.0,0.0,0,2023-05-01 17:06,2023-05-01 18:06,81.52,145.21
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_574,start,O_326,23.785685915943127,23.785685915943127,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#3,VEH_574,service,D_2010,23.785685915943127,0.0,259.55,2023-05-01 08:40,2023-05-01 14:00,6.91,116.91
#3,VEH_574,finish,O_326,0.0,0.0,0,2023-05-01 14:36,2023-05-01 15:36,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_596,start,O_326,25.529644992327547,25.529644992327547,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#4,VEH_596,service,D_1404,25.529644992327547,0.0,247.03,2023-05-01 08:53,2023-05-01 14:00,28.91,184.69
#4,VEH_596,finish,O_326,0.0,0.0,0,2023-05-01 14:44,2023-05-01 15:44,56.97,218.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_578,start,O_326,29.16819500193204,29.16819500193204,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#5,VEH_578,service,D_108,29.16819500193204,0.0,247.39,2023-05-01 08:53,2023-05-01 14:00,39.77,149.77
#5,VEH_578,finish,O_326,0.0,0.0,0,2023-05-01 14:53,2023-05-01 15:53,78.97,188.97
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,VEH_597,start,O_326,48.74338763411038,48.74338763411038,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#6,VEH_597,service,D_108,48.74338763411038,17.87622828576751,247.39,2023-05-01 08:53,2023-05-01 14:00,39.77,259.65
#6,VEH_597,service,D_108,17.87622828576751,0.0,0,2023-05-01 14:00,2023-05-01 15:00,39.77,259.65
#6,VEH_597,finish,O_326,0.0,0.0,0,2023-05-01 15:53,2023-05-01 16:53,78.97,318.45
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#7,VEH_591,start,O_326,29.49103863369477,29.49103863369477,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#7,VEH_591,service,D_108,29.49103863369477,0.0,247.39,2023-05-01 08:53,2023-05-01 14:00,39.77,197.72
#7,VEH_591,finish,O_326,0.0,0.0,0,2023-05-01 14:53,2023-05-01 15:53,78.97,244.76
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#8,VEH_610,start,O_326,33.933317271608324,33.933317271608324,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#8,VEH_610,service,D_1658,33.933317271608324,0.0,199.1,2023-05-01 09:41,2023-05-01 14:00,14.8,222.2
#8,VEH_610,finish,O_326,0.0,0.0,0,2023-05-01 15:43,2023-05-01 16:43,29.14,243.71
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#9,VEH_589,start,O_326,29.58043488189059,29.58043488189059,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#9,VEH_589,service,D_108,29.58043488189059,0.0,247.39,2023-05-01 08:53,2023-05-01 14:00,39.77,197.72
#9,VEH_589,finish,O_326,0.0,0.0,0,2023-05-01 14:53,2023-05-01 15:53,78.97,244.76
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 10:06,,
TOTAL,,,,,,,,,515.3,1746.03
