Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_284,start,O_144,11.209610092297314,11.209610092297314,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#1,VEH_284,service,D_1093,11.209610092297314,0.0,125.08,2023-05-01 07:55,2023-05-01 11:00,14.8,167.76
#1,VEH_284,finish,O_144,0.0,0.0,0,2023-05-01 12:47,2023-05-01 13:47,29.14,184.97
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_283,start,O_144,41.56420012417427,41.56420012417427,0,2023-05-01 06:00,2023-05-01 06:00,0.0,150
#2,VEH_283,service,D_2152,41.56420012417427,8.951629614564354,167.25,2023-05-01 08:13,2023-05-01 12:00,9.11,160.93
#2,VEH_283,service,D_90,8.951629614564354,0.0,0,2023-05-01 16:11,2023-05-01 17:11,24.56,179.47
#2,VEH_283,finish,O_144,0.0,0.0,0,2023-05-01 20:14,2023-05-01 21:14,30.92,187.1
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 15:14,,
TOTAL,,,,,,,,,60.06,372.07
