Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_418,start,O_243,14.805680237329494,14.805680237329494,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#1,VEH_418,service,D_7,14.805680237329494,0.0,248.45,2023-05-01 08:52,2023-05-01 14:00,6.91,116.91
#1,VEH_418,finish,O_243,0.0,0.0,0,2023-05-01 14:47,2023-05-01 15:47,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_475,start,O_243,51.91964171828791,51.91964171828791,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#2,VEH_475,service,D_108,51.91964171828791,27.388579012358303,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,266.39
#2,VEH_475,service,D_108,27.388579012358303,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,266.39
#2,VEH_475,finish,O_243,0.0,0.0,0,2023-05-01 16:30,2023-05-01 17:30,18.54,283.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_455,start,O_243,33.99193581523249,33.99193581523249,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#3,VEH_455,service,D_108,33.99193581523249,18.540791340358098,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,213.66
#3,VEH_455,service,D_108,18.540791340358098,5.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,213.66
#3,VEH_455,service,D_108,5.0,0.0,0,2023-05-01 15:00,2023-05-01 16:00,9.11,213.66
#3,VEH_455,finish,O_243,0.0,0.0,0,2023-05-01 17:30,2023-05-01 18:30,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_441,start,O_243,34.70351338068504,34.70351338068504,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#4,VEH_441,service,D_108,34.70351338068504,0.0,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,160.93
#4,VEH_441,finish,O_243,0.0,0.0,0,2023-05-01 15:30,2023-05-01 16:30,18.54,172.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_452,start,O_243,49.59436806816933,49.59436806816933,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#5,VEH_452,service,D_108,49.59436806816933,18.855757584408764,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,213.66
#5,VEH_452,service,D_108,18.855757584408764,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,213.66
#5,VEH_452,finish,O_243,0.0,0.0,0,2023-05-01 16:30,2023-05-01 17:30,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,VEH_434,start,O_243,35.24883618929265,35.24883618929265,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#6,VEH_434,service,D_108,35.24883618929265,0.0,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,160.93
#6,VEH_434,finish,O_243,0.0,0.0,0,2023-05-01 15:30,2023-05-01 16:30,18.54,172.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#7,VEH_458,start,O_243,49.8345959595367,49.8345959595367,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#7,VEH_458,service,D_108,49.8345959595367,35.41693854280828,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,213.66
#7,VEH_458,service,D_108,35.41693854280828,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,213.66
#7,VEH_458,finish,O_243,0.0,0.0,0,2023-05-01 16:30,2023-05-01 17:30,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#8,VEH_464,start,O_243,51.360643657355126,51.360643657355126,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#8,VEH_464,service,D_108,51.360643657355126,25.660501221258222,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,266.39
#8,VEH_464,service,D_108,25.660501221258222,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,266.39
#8,VEH_464,finish,O_243,0.0,0.0,0,2023-05-01 16:30,2023-05-01 17:30,18.54,283.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#9,VEH_430,start,O_243,29.995198009126195,29.995198009126195,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#9,VEH_430,service,D_108,29.995198009126195,0.0,208.94,2023-05-01 09:31,2023-05-01 14:00,9.11,119.11
#9,VEH_430,finish,O_243,0.0,0.0,0,2023-05-01 15:30,2023-05-01 16:30,18.54,128.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 10:30,,
TOTAL,,,,,,,,,161.55,1846.43
