Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_83,start,O_11,40.98214469216025,40.98214469216025,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#1,VEH_83,service,D_108,40.98214469216025,0.0,241.59,2023-05-01 08:58,2023-05-01 14:00,9.11,213.66
#1,VEH_83,finish,O_11,0.0,0.0,0,2023-05-01 14:55,2023-05-01 15:55,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_67,start,O_11,23.545848178283386,23.545848178283386,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#2,VEH_67,service,D_179,23.545848178283386,0.0,267.63,2023-05-01 08:32,2023-05-01 14:00,6.91,116.91
#2,VEH_67,finish,O_11,0.0,0.0,0,2023-05-01 14:40,2023-05-01 15:40,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_93,start,O_11,42.3705776559054,42.3705776559054,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#3,VEH_93,service,D_108,42.3705776559054,25.71658743828239,241.59,2023-05-01 08:58,2023-05-01 14:00,9.11,266.39
#3,VEH_93,service,D_108,25.71658743828239,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,266.39
#3,VEH_93,finish,O_11,0.0,0.0,0,2023-05-01 15:55,2023-05-01 16:55,18.54,283.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_82,start,O_11,48.78094407373537,48.78094407373537,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#4,VEH_82,service,D_108,48.78094407373537,35.871682765016274,241.59,2023-05-01 08:58,2023-05-01 14:00,9.11,213.66
#4,VEH_82,service,D_108,35.871682765016274,5.738201911556956,0,2023-05-01 14:00,2023-05-01 15:00,9.11,213.66
#4,VEH_82,service,D_108,5.738201911556956,0.0,0,2023-05-01 15:00,2023-05-01 16:00,9.11,213.66
#4,VEH_82,finish,O_11,0.0,0.0,0,2023-05-01 16:55,2023-05-01 17:55,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_66,start,O_11,31.55801397318319,31.55801397318319,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#5,VEH_66,service,D_108,31.55801397318319,26.55801397318319,241.59,2023-05-01 08:58,2023-05-01 14:00,9.11,119.11
#5,VEH_66,service,D_179,26.55801397318319,0.0,0,2023-05-01 14:47,2023-05-01 15:47,24.56,134.56
#5,VEH_66,finish,O_11,0.0,0.0,0,2023-05-01 16:27,2023-05-01 17:27,30.92,140.92
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,VEH_86,start,O_11,38.86212058236825,38.86212058236825,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#6,VEH_86,service,D_108,38.86212058236825,5.0,241.59,2023-05-01 08:58,2023-05-01 14:00,9.11,213.66
#6,VEH_86,service,D_108,5.0,0.0,0,2023-05-01 14:00,2023-05-01 15:00,9.11,213.66
#6,VEH_86,finish,O_11,0.0,0.0,0,2023-05-01 15:55,2023-05-01 16:55,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 09:55,,
TOTAL,,,,,,,,,118.33,1230.96
