ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_963,1,O_673,2023-05-01 06:00,0,,,
M18385109,VEH_963,2,D_278,2023-05-01 07:15,165.39,60,2023-05-01 11:00,Yes
M18385110,VEH_963,3,D_279,2023-05-01 12:03,0,60,2023-05-01 13:03,Yes
,VEH_963,4,O_673,2023-05-01 14:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_976,1,O_673,2023-05-01 06:00,0,,,
20230501B467962_001,VEH_976,2,D_37,2023-05-01 06:57,243.32,60,2023-05-01 12:00,Yes
,VEH_976,3,O_673,2023-05-01 12:54,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_991,1,O_673,2023-05-01 06:00,0,,,
20230501B467929_001,VEH_991,2,D_37,2023-05-01 06:57,243.32,60,2023-05-01 12:00,Yes
M18434761,VEH_991,3,D_359,2023-05-01 12:43,0,60,2023-05-01 13:43,Yes
,VEH_991,4,O_673,2023-05-01 14:06,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1010,1,O_673,2023-05-01 06:00,0,,,
M18386226,VEH_1010,2,D_286,2023-05-01 08:39,80.53,60,2023-05-01 11:00,Yes
,VEH_1010,3,O_673,2023-05-01 14:14,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_971,1,O_673,2023-05-01 06:00,0,,,
20230501B467924_001,VEH_971,2,D_37,2023-05-01 06:57,243.32,60,2023-05-01 12:00,Yes
M18385667,VEH_971,3,D_377,2023-05-01 13:25,0,60,2023-05-01 14:25,Yes
,VEH_971,4,O_673,2023-05-01 16:54,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1014,1,O_673,2023-05-01 06:00,0,,,
M18434616,VEH_1014,2,D_359,2023-05-01 06:26,213.69,60,2023-05-01 11:00,Yes
M18385678,VEH_1014,3,D_286,2023-05-01 13:23,0,60,2023-05-01 14:23,Yes
,VEH_1014,4,O_673,2023-05-01 17:38,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_968,1,O_673,2023-05-01 06:00,0,,,
M18386797,VEH_968,2,D_425,2023-05-01 06:24,216.04,60,2023-05-01 11:00,Yes
,VEH_968,3,O_673,2023-05-01 11:23,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_996,1,O_673,2023-05-01 06:00,0,,,
M18385114,VEH_996,2,D_279,2023-05-01 07:35,205.41,60,2023-05-01 12:00,Yes
,VEH_996,3,O_673,2023-05-01 13:47,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1012,1,O_673,2023-05-01 06:00,0,,,
M18386782,VEH_1012,2,D_362,2023-05-01 06:21,219.32,60,2023-05-01 11:00,Yes
M18386875,VEH_1012,3,D_429,2023-05-01 12:53,0,60,2023-05-01 13:53,Yes
,VEH_1012,4,O_673,2023-05-01 16:12,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_984,1,O_673,2023-05-01 06:00,0,,,
20230501B467853_001,VEH_984,2,D_37,2023-05-01 06:57,243.32,60,2023-05-01 12:00,Yes
,VEH_984,3,O_673,2023-05-01 12:54,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
