ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_741,1,O_448,2023-05-01 06:00,0,,,
MF2305036201425,VEH_741,2,D_1402,2023-05-01 08:20,159.52,60,2023-05-01 12:00,Yes
,VEH_741,3,O_448,2023-05-01 13:58,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_734,1,O_448,2023-05-01 06:00,0,,,
MF2305036201420,VEH_734,2,D_1396,2023-05-01 08:10,110.28,60,2023-05-01 11:00,Yes
MF2305036203583,VEH_734,3,D_1433,2023-05-01 12:25,0,60,2023-05-01 13:25,Yes
,VEH_734,4,O_448,2023-05-01 14:38,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_769,1,O_448,2023-05-01 06:00,0,,,
MF2305036201415,VEH_769,2,D_1397,2023-05-01 08:08,112.31,60,2023-05-01 11:00,Yes
,VEH_769,3,O_448,2023-05-01 12:49,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
