Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_385,start,O_179,48.09191064541085,48.09191064541085,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#1,VEH_385,service,D_1208,48.09191064541085,13.108693449822756,210.43,2023-05-01 09:30,2023-05-01 14:00,9.11,213.66
#1,VEH_385,service,D_1778,13.108693449822756,0.0,0,2023-05-01 15:41,2023-05-01 16:41,24.56,236.84
#1,VEH_385,finish,O_179,0.0,0.0,0,2023-05-01 16:59,2023-05-01 17:59,30.92,246.38
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_388,start,O_179,38.79230396818654,38.79230396818654,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#2,VEH_388,service,D_108,38.79230396818654,33.79230396818654,211.84,2023-05-01 09:28,2023-05-01 14:00,20.44,230.65
#2,VEH_388,service,D_108,33.79230396818654,16.97956492050438,0,2023-05-01 14:00,2023-05-01 15:00,20.44,230.65
#2,VEH_388,service,D_1204,16.97956492050438,0.0,1137.54,2023-05-01 18:02,2023-05-02 14:00,26.72,240.08
#2,VEH_388,finish,O_179,0.0,0.0,0,2023-05-02 15:43,2023-05-02 16:43,41.06,261.59
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-02 08:43,,
TOTAL,,,,,,,,,71.98,507.97
