ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_557,1,O_326,2023-05-01 06:00,0,,,
MF2305126290583,VEH_557,2,D_2009,2023-05-01 06:50,190.16,60,2023-05-01 11:00,Yes
MF2305126290608,VEH_557,3,D_1638,2023-05-01 12:07,0,60,2023-05-01 13:07,Yes
,VEH_557,4,O_326,2023-05-01 14:44,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_587,1,O_326,2023-05-01 06:00,0,,,
MF2305126290607,VEH_587,2,D_1631,2023-05-01 07:43,136.94,60,2023-05-01 11:00,Yes
20230501B468351_001,VEH_587,3,D_37,2023-05-01 13:19,0,60,2023-05-01 14:19,Yes
,VEH_587,4,O_326,2023-05-01 14:45,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_554,1,O_326,2023-05-01 06:00,0,,,
MF2305126290563,VEH_554,2,D_1199,2023-05-01 06:28,212.11,60,2023-05-01 11:00,Yes
,VEH_554,3,O_326,2023-05-01 11:27,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_582,1,O_326,2023-05-01 06:00,0,,,
MF2305126290619,VEH_582,2,D_1631,2023-05-01 07:43,136.94,60,2023-05-01 11:00,Yes
,VEH_582,3,O_326,2023-05-01 12:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_614,1,O_326,2023-05-01 06:00,0,,,
20230501B467914_001,VEH_614,2,D_37,2023-05-01 06:33,266.53,60,2023-05-01 12:00,Yes
,VEH_614,3,O_326,2023-05-01 12:25,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_616,1,O_326,2023-05-01 06:00,0,,,
20230501B468176_001,VEH_616,2,D_37,2023-05-01 06:33,266.53,60,2023-05-01 12:00,Yes
,VEH_616,3,O_326,2023-05-01 12:25,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_609,1,O_326,2023-05-01 06:00,0,,,
MF2305126290604,VEH_609,2,D_2012,2023-05-01 07:25,214.9,60,2023-05-01 12:00,Yes
,VEH_609,3,O_326,2023-05-01 13:25,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
