ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_1021,1,O_673,2023-05-01 02:00,0,,,
M18385646,VEH_1021,2,D_368,2023-05-01 03:14,225.66,60,2023-05-01 08:00,Yes
20230501B467981_001,VEH_1021,3,D_37,2023-05-01 08:48,0,60,2023-05-01 09:48,Yes
,VEH_1021,4,O_673,2023-05-01 10:43,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_979,1,O_673,2023-05-01 02:00,0,,,
20230501B467817_001,VEH_979,2,D_37,2023-05-01 02:57,243.32,60,2023-05-01 08:00,Yes
20230501B467961_001,VEH_979,3,D_37,2023-05-01 08:00,0,60,2023-05-01 09:00,Yes
,VEH_979,4,O_673,2023-05-01 09:54,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1004,1,O_673,2023-05-01 02:00,0,,,
M18385113,VEH_1004,2,D_279,2023-05-01 03:35,205.41,60,2023-05-01 08:00,Yes
M18385023,VEH_1004,3,D_272,2023-05-01 09:08,0,60,2023-05-01 10:08,Yes
,VEH_1004,4,O_673,2023-05-01 11:03,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1013,1,O_673,2023-05-01 02:00,0,,,
M18385663,VEH_1013,2,D_298,2023-05-01 04:16,164.06,60,2023-05-01 08:00,Yes
20230501B468011_001,VEH_1013,3,D_37,2023-05-01 09:45,0,60,2023-05-01 10:45,Yes
,VEH_1013,4,O_673,2023-05-01 11:40,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_1003,1,O_673,2023-05-01 02:00,0,,,
20230501B467928_001,VEH_1003,2,D_37,2023-05-01 02:57,243.32,60,2023-05-01 08:00,Yes
,VEH_1003,3,O_673,2023-05-01 08:54,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
