Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_175,start,O_50,24.221947638257284,24.221947638257284,0,2023-05-01 10:00,2023-05-01 10:00,0.0,0
#1,VEH_175,service,D_1842,24.221947638257284,0.0,194.22,2023-05-01 10:46,2023-05-01 15:00,6.91,12.44
#1,VEH_175,finish,O_50,0.0,0.0,0,2023-05-01 15:46,2023-05-01 16:46,13.27,23.89
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_162,start,O_50,34.6442334519758,34.6442334519758,0,2023-05-01 10:00,2023-05-01 10:00,0.0,150
#2,VEH_162,service,D_1842,34.6442334519758,0.0,194.22,2023-05-01 10:46,2023-05-01 15:00,6.91,158.29
#2,VEH_162,finish,O_50,0.0,0.0,0,2023-05-01 15:46,2023-05-01 16:46,13.27,165.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_169,start,O_50,42.302853250877135,42.302853250877135,0,2023-05-01 10:00,2023-05-01 10:00,0.0,200
#3,VEH_169,service,D_1842,42.302853250877135,0.0,194.22,2023-05-01 10:46,2023-05-01 15:00,6.91,210.37
#3,VEH_169,finish,O_50,0.0,0.0,0,2023-05-01 15:46,2023-05-01 16:46,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 06:46,,
TOTAL,,,,,,,,,39.82,409.73
