Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_1026,start,O_673,53.771521057122456,53.771521057122456,0,2023-05-01 02:00,2023-05-01 02:00,0.0,250
#1,VEH_1026,service,D_368,53.771521057122456,38.32117872750441,225.66,2023-05-01 03:14,2023-05-01 08:00,9.11,266.39
#1,VEH_1026,service,D_37,38.32117872750441,0.0,0,2023-05-01 08:48,2023-05-01 09:48,24.56,294.21
#1,VEH_1026,finish,O_673,0.0,0.0,0,2023-05-01 10:43,2023-05-01 11:43,30.92,305.65
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_984,start,O_673,40.273120202220476,40.273120202220476,0,2023-05-01 02:00,2023-05-01 02:00,0.0,150
#2,VEH_984,service,D_37,40.273120202220476,7.012935923949662,243.32,2023-05-01 02:57,2023-05-01 08:00,6.91,158.29
#2,VEH_984,service,D_37,7.012935923949662,0.0,0,2023-05-01 08:00,2023-05-01 09:00,6.91,158.29
#2,VEH_984,finish,O_673,0.0,0.0,0,2023-05-01 09:54,2023-05-01 10:54,13.27,165.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_957,start,O_673,25.749358837148524,25.749358837148524,0,2023-05-01 02:00,2023-05-01 02:00,0.0,80
#3,VEH_957,service,D_37,25.749358837148524,0.0,243.32,2023-05-01 02:57,2023-05-01 08:00,6.91,85.53
#3,VEH_957,finish,O_673,0.0,0.0,0,2023-05-01 08:54,2023-05-01 09:54,13.27,90.62
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_976,start,O_673,26.044327517006582,26.044327517006582,0,2023-05-01 02:00,2023-05-01 02:00,0.0,110
#4,VEH_976,service,D_37,26.044327517006582,0.0,243.32,2023-05-01 02:57,2023-05-01 08:00,6.91,116.91
#4,VEH_976,finish,O_673,0.0,0.0,0,2023-05-01 08:54,2023-05-01 09:54,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_994,start,O_673,22.469727375619023,22.469727375619023,0,2023-05-01 02:00,2023-05-01 02:00,0.0,150
#5,VEH_994,service,D_272,22.469727375619023,0.0,244.82,2023-05-01 02:55,2023-05-01 08:00,28.91,184.69
#5,VEH_994,finish,O_673,0.0,0.0,0,2023-05-01 08:55,2023-05-01 09:55,56.97,218.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#6,VEH_1025,start,O_673,40.74020783089348,40.74020783089348,0,2023-05-01 02:00,2023-05-01 02:00,0.0,250
#6,VEH_1025,service,D_279,40.74020783089348,20.47576512500004,205.41,2023-05-01 03:35,2023-05-01 08:00,20.44,286.78
#6,VEH_1025,service,D_298,20.47576512500004,0.0,0,2023-05-01 08:58,2023-05-01 09:58,26.72,298.09
#6,VEH_1025,finish,O_673,0.0,0.0,0,2023-05-01 12:43,2023-05-01 13:43,41.06,323.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 11:43,,
TOTAL,,,,,,,,,168.76,1227.74
