ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_83,1,O_11,2023-05-01 08:00,0,,,
20230501B468195_001,VEH_83,2,D_108,2023-05-01 08:58,241.59,60,2023-05-01 14:00,Yes
,VEH_83,3,O_11,2023-05-01 14:55,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_67,1,O_11,2023-05-01 08:00,0,,,
20230501B467505_001,VEH_67,2,D_179,2023-05-01 08:32,267.63,60,2023-05-01 14:00,Yes
,VEH_67,3,O_11,2023-05-01 14:40,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_93,1,O_11,2023-05-01 08:00,0,,,
20230501B467151_001,VEH_93,2,D_108,2023-05-01 08:58,241.59,60,2023-05-01 14:00,Yes
20230501B467093_001,VEH_93,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_93,4,O_11,2023-05-01 15:55,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_82,1,O_11,2023-05-01 08:00,0,,,
20230501B467460_001,VEH_82,2,D_108,2023-05-01 08:58,241.59,60,2023-05-01 14:00,Yes
20230501B467942_001,VEH_82,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
20230501B468221_001,VEH_82,4,D_108,2023-05-01 15:00,0,60,2023-05-01 16:00,Yes
,VEH_82,5,O_11,2023-05-01 16:55,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_66,1,O_11,2023-05-01 08:00,0,,,
20230501B468191_001,VEH_66,2,D_108,2023-05-01 08:58,241.59,60,2023-05-01 14:00,Yes
N_20230501858775,VEH_66,3,D_179,2023-05-01 14:47,0,60,2023-05-01 15:47,Yes
,VEH_66,4,O_11,2023-05-01 16:27,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_86,1,O_11,2023-05-01 08:00,0,,,
20230501B468199_001,VEH_86,2,D_108,2023-05-01 08:58,241.59,60,2023-05-01 14:00,Yes
20230501B468187_001,VEH_86,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_86,4,O_11,2023-05-01 15:55,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
