Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_625,start,O_326,40.85662378253416,40.85662378253416,0,2023-05-01 10:00,2023-05-01 10:00,0.0,250
#1,VEH_625,service,D_1408,40.85662378253416,20.580930638154776,131.0,2023-05-01 11:49,2023-05-01 15:00,9.11,266.39
#1,VEH_625,service,D_1629,20.580930638154776,0.0,0,2023-05-01 17:15,2023-05-01 18:15,24.56,294.21
#1,VEH_625,finish,O_326,0.0,0.0,0,2023-05-01 19:38,2023-05-01 20:38,30.92,305.65
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_593,start,O_326,35.452055896134894,35.452055896134894,0,2023-05-01 10:00,2023-05-01 10:00,0.0,150
#2,VEH_593,service,D_1408,35.452055896134894,0.0,131.0,2023-05-01 11:49,2023-05-01 15:00,9.11,160.93
#2,VEH_593,finish,O_326,0.0,0.0,0,2023-05-01 16:43,2023-05-01 17:43,18.54,172.24
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 10:38,,
TOTAL,,,,,,,,,49.45,477.9
