Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_58,start,O_11,26.974915529244853,26.974915529244853,0,2023-05-01 06:00,2023-05-01 06:00,0.0,80
#1,VEH_58,service,D_286,26.974915529244853,0.0,126.0,2023-05-01 07:54,2023-05-01 11:00,20.44,96.35
#1,VEH_58,finish,O_11,0.0,0.0,0,2023-05-01 13:17,2023-05-01 14:17,43.51,114.81
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_69,start,O_11,28.477748748343313,28.477748748343313,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#2,VEH_69,service,D_298,28.477748748343313,10.639634293752334,211.14,2023-05-01 07:29,2023-05-01 12:00,9.11,119.11
#2,VEH_69,service,D_290,10.639634293752334,0.0,0,2023-05-01 13:59,2023-05-01 14:59,32.45,142.45
#2,VEH_69,finish,O_11,0.0,0.0,0,2023-05-01 16:35,2023-05-01 17:35,46.79,156.79
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_85,start,O_11,44.01660238356739,44.01660238356739,0,2023-05-01 06:00,2023-05-01 06:00,0.0,200
#3,VEH_85,service,D_37,44.01660238356739,25.819845758312336,300.0,2023-05-01 06:00,2023-05-01 12:00,6.91,210.37
#3,VEH_85,service,D_37,25.819845758312336,0.0,0,2023-05-01 12:00,2023-05-01 13:00,6.91,210.37
#3,VEH_85,finish,O_11,0.0,0.0,0,2023-05-01 13:00,2023-05-01 14:00,13.27,219.91
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 11:35,,
TOTAL,,,,,,,,,103.57,491.5
