ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_163,1,O_50,2023-05-01 08:00,0,,,
MF2305116279526,VEH_163,2,D_1524,2023-05-01 08:51,249.14,60,2023-05-01 14:00,Yes
,VEH_163,3,O_50,2023-05-01 15:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_167,1,O_50,2023-05-01 08:00,0,,,
MF2305116279511,VEH_167,2,D_1271,2023-05-01 11:50,70.17,60,2023-05-01 14:00,Yes
20230501B468089_001,VEH_167,3,D_108,2023-05-01 15:13,0,60,2023-05-01 16:13,Yes
20230501B467797_001,VEH_167,4,D_108,2023-05-01 16:13,0,60,2023-05-01 17:13,Yes
,VEH_167,5,O_50,2023-05-01 20:23,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
