ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_610,1,O_326,2023-05-01 00:00,0,,,
MF2305126290595,VEH_610,2,D_1405,2023-05-01 01:37,0,60,2023-05-01 02:37,Yes
MF2305176319065,VEH_610,3,D_1593,2023-05-01 04:16,0,60,2023-05-01 05:16,Yes
,VEH_610,4,O_326,2023-05-01 05:17,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_598,1,O_326,2023-05-01 00:00,0,,,
MF2305176319077,VEH_598,2,D_1593,2023-05-01 00:00,0,60,2023-05-01 01:00,Yes
MF2305176319069,VEH_598,3,D_1593,2023-05-01 01:00,0,60,2023-05-01 02:00,Yes
,VEH_598,4,O_326,2023-05-01 02:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_563,1,O_326,2023-05-01 00:00,0,,,
MF2305126290575,VEH_563,2,D_2007,2023-05-01 01:28,0,60,2023-05-01 02:28,Yes
,VEH_563,3,O_326,2023-05-01 03:47,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_594,1,O_326,2023-05-01 00:00,0,,,
MF2305126290587,VEH_594,2,D_1597,2023-05-01 00:44,0,60,2023-05-01 01:44,Yes
MF2305316392523,VEH_594,3,D_2866,2023-05-01 02:56,0,60,2023-05-01 03:56,Yes
,VEH_594,4,O_326,2023-05-01 05:34,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_587,1,O_326,2023-05-01 00:00,0,,,
MF2305176319073,VEH_587,2,D_1593,2023-05-01 00:00,0,60,2023-05-01 01:00,Yes
,VEH_587,3,O_326,2023-05-01 01:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
