Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_368,start,O_179,29.14023589090059,29.14023589090059,0,2023-05-01 06:00,2023-05-01 06:00,0.0,110
#1,VEH_368,service,D_1595,29.14023589090059,0.0,164.27,2023-05-01 08:16,2023-05-01 12:00,6.91,116.91
#1,VEH_368,finish,O_179,0.0,0.0,0,2023-05-01 13:59,2023-05-01 14:59,13.27,123.27
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_389,start,O_179,41.214813415166944,41.214813415166944,0,2023-05-01 06:00,2023-05-01 06:00,0.0,200
#2,VEH_389,service,D_1197,41.214813415166944,0.0,148.31,2023-05-01 07:32,2023-05-01 11:00,9.11,213.66
#2,VEH_389,finish,O_179,0.0,0.0,0,2023-05-01 12:31,2023-05-01 13:31,18.54,227.8
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 08:59,,
TOTAL,,,,,,,,,31.81,351.08
