Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_163,start,O_50,27.30198843913981,27.30198843913981,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#1,VEH_163,service,D_1524,27.30198843913981,0.0,249.14,2023-05-01 08:51,2023-05-01 14:00,6.91,8.29
#1,VEH_163,finish,O_50,0.0,0.0,0,2023-05-01 15:00,2023-05-01 16:00,13.27,15.93
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_167,start,O_50,49.92926862595563,49.92926862595563,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#2,VEH_167,service,D_1271,49.92926862595563,29.8581048622488,70.17,2023-05-01 11:50,2023-05-01 14:00,9.11,13.66
#2,VEH_167,service,D_108,29.8581048622488,5.0,0,2023-05-01 15:13,2023-05-01 16:13,32.45,48.67
#2,VEH_167,service,D_108,5.0,0.0,0,2023-05-01 16:13,2023-05-01 17:13,32.45,48.67
#2,VEH_167,finish,O_50,0.0,0.0,0,2023-05-01 20:23,2023-05-01 21:23,46.79,70.18
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 13:23,,
TOTAL,,,,,,,,,60.06,86.11
