Route,Vehicle,Activity,Job_도착지점의 index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_732,start,O_448,9.850426598826592,9.850426598826592,0,2023-05-01 00:00,2023-05-01 00:00,0.0,80
#1,VEH_732,service,D_2648,9.850426598826592,0.0,0,2023-05-01 02:12,2023-05-01 03:12,6.91,85.53
#1,VEH_732,finish,O_448,0.0,0.0,0,2023-05-01 05:22,2023-05-01 06:22,13.27,90.62
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_735,start,O_448,26.62789980117073,26.62789980117073,0,2023-05-01 00:00,2023-05-01 00:00,0.0,80
#2,VEH_735,service,D_1405,26.62789980117073,0.0,0,2023-05-01 02:57,2023-05-01 03:57,9.11,87.28
#2,VEH_735,finish,O_448,0.0,0.0,0,2023-05-01 06:38,2023-05-01 07:38,18.54,94.83
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 07:38,,
TOTAL,,,,,,,,,31.81,185.45
