ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_306,1,O_144,2023-05-01 08:00,0,,,
M18385448,VEH_306,2,D_322,2023-05-01 09:58,182.24,60,2023-05-01 14:00,Yes
,VEH_306,3,O_144,2023-05-01 15:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_309,1,O_144,2023-05-01 08:00,0,,,
M18385461,VEH_309,2,D_333,2023-05-01 09:40,199.78,60,2023-05-01 14:00,Yes
M18385467,VEH_309,3,D_336,2023-05-01 16:43,0,60,2023-05-01 17:43,Yes
M18385436,VEH_309,4,D_313,2023-05-01 21:36,923.66,60,2023-05-02 14:00,Yes
,VEH_309,5,O_144,2023-05-02 16:22,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_282,1,O_144,2023-05-01 08:00,0,,,
M18385441,VEH_282,2,D_316,2023-05-01 10:16,163.7,60,2023-05-01 14:00,Yes
,VEH_282,3,O_144,2023-05-01 16:18,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
