ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_58,1,O_11,2023-05-01 06:00,0,,,
M18385400,VEH_58,2,D_286,2023-05-01 07:54,126.0,60,2023-05-01 11:00,Yes
,VEH_58,3,O_11,2023-05-01 13:17,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_69,1,O_11,2023-05-01 06:00,0,,,
M18385406,VEH_69,2,D_298,2023-05-01 07:29,211.14,60,2023-05-01 12:00,Yes
M18385392,VEH_69,3,D_290,2023-05-01 13:59,0,60,2023-05-01 14:59,Yes
,VEH_69,4,O_11,2023-05-01 16:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_85,1,O_11,2023-05-01 06:00,0,,,
20230501B468136_001,VEH_85,2,D_37,2023-05-01 06:00,300.0,60,2023-05-01 12:00,Yes
20230501B468204_001,VEH_85,3,D_37,2023-05-01 12:00,0,60,2023-05-01 13:00,Yes
,VEH_85,4,O_11,2023-05-01 13:00,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
