Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_998,start,O_673,48.921047986575736,48.921047986575736,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#1,VEH_998,service,D_327,48.921047986575736,17.838317270055512,280.23,2023-05-01 08:20,2023-05-01 14:00,14.8,222.2
#1,VEH_998,service,D_108,17.838317270055512,0.0,0,2023-05-01 15:28,2023-05-01 16:28,28.68,243.03
#1,VEH_998,finish,O_673,0.0,0.0,0,2023-05-01 17:58,2023-05-01 18:58,56.74,285.12
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_1022,start,O_673,37.42148115914661,37.42148115914661,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#2,VEH_1022,service,D_108,37.42148115914661,0.0,214.33,2023-05-01 09:26,2023-05-01 14:00,28.91,302.04
#2,VEH_1022,finish,O_673,0.0,0.0,0,2023-05-01 15:30,2023-05-01 16:30,56.97,352.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_1020,start,O_673,39.28621581430959,39.28621581430959,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#3,VEH_1020,service,D_373,39.28621581430959,0.0,162.54,2023-05-01 10:17,2023-05-01 14:00,9.11,266.39
#3,VEH_1020,finish,O_673,0.0,0.0,0,2023-05-01 16:40,2023-05-01 17:40,18.54,283.36
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_992,start,O_673,33.538920122635275,33.538920122635275,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#4,VEH_992,service,D_273,33.538920122635275,0.0,218.52,2023-05-01 09:21,2023-05-01 14:00,20.44,174.52
#4,VEH_992,finish,O_673,0.0,0.0,0,2023-05-01 15:29,2023-05-01 16:29,43.51,202.21
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,VEH_989,start,O_673,39.6261862097713,39.6261862097713,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#5,VEH_989,service,D_108,39.6261862097713,25.42289869583989,214.33,2023-05-01 09:26,2023-05-01 14:00,28.91,184.69
