Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_306,start,O_144,37.3029091847289,37.3029091847289,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#1,VEH_306,service,D_322,37.3029091847289,0.0,182.24,2023-05-01 09:58,2023-05-01 14:00,14.8,222.2
#1,VEH_306,finish,O_144,0.0,0.0,0,2023-05-01 15:50,2023-05-01 16:50,29.14,243.71
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_309,start,O_144,41.12404969085572,41.12404969085572,0,2023-05-01 08:00,2023-05-01 08:00,0.0,200
#2,VEH_309,service,D_333,41.12404969085572,27.901950306735067,199.78,2023-05-01 09:40,2023-05-01 14:00,9.11,213.66
#2,VEH_309,service,D_336,27.901950306735067,20.29078314485687,0,2023-05-01 16:43,2023-05-01 17:43,24.56,236.84
#2,VEH_309,service,D_313,20.29078314485687,0.0,923.66,2023-05-01 21:36,2023-05-02 14:00,50.63,275.95
#2,VEH_309,finish,O_144,0.0,0.0,0,2023-05-02 16:22,2023-05-02 17:22,78.69,318.04
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_282,start,O_144,34.312887323139826,34.312887323139826,0,2023-05-01 08:00,2023-05-01 08:00,0.0,150
#3,VEH_282,service,D_316,34.312887323139826,0.0,163.7,2023-05-01 10:16,2023-05-01 14:00,20.44,174.52
#3,VEH_282,finish,O_144,0.0,0.0,0,2023-05-01 16:18,2023-05-01 17:18,43.51,202.21
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-02 09:22,,
TOTAL,,,,,,,,,151.34,763.96
