Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,VEH_192,start,O_62,44.659584439881826,44.659584439881826,0,2023-05-01 08:00,2023-05-01 08:00,0.0,0
#1,VEH_192,service,D_108,44.659584439881826,20.350608527547056,249.92,2023-05-01 08:50,2023-05-01 14:00,14.8,22.2
#1,VEH_192,service,D_273,20.350608527547056,0.0,0,2023-05-01 14:51,2023-05-01 15:51,26.77,40.15
#1,VEH_192,finish,O_62,0.0,0.0,0,2023-05-01 16:34,2023-05-01 17:34,33.13,49.69
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,VEH_185,start,O_62,28.0092549969512,28.0092549969512,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#2,VEH_185,service,D_266,28.0092549969512,0.0,270.04,2023-05-01 08:30,2023-05-01 14:00,9.11,119.11
#2,VEH_185,finish,O_62,0.0,0.0,0,2023-05-01 14:32,2023-05-01 15:32,18.54,128.54
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,VEH_200,start,O_62,45.0,45.0,0,2023-05-01 08:00,2023-05-01 08:00,0.0,250
#3,VEH_200,service,D_273,45.0,0.0,259.26,2023-05-01 08:41,2023-05-01 14:00,6.91,262.44
#3,VEH_200,finish,O_62,0.0,0.0,0,2023-05-01 14:43,2023-05-01 15:43,13.27,273.89
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,VEH_183,start,O_62,31.903059970813693,31.903059970813693,0,2023-05-01 08:00,2023-05-01 08:00,0.0,110
#4,VEH_183,service,D_108,31.903059970813693,0.0,249.92,2023-05-01 08:50,2023-05-01 14:00,14.8,124.8
#4,VEH_183,finish,O_62,0.0,0.0,0,2023-05-01 14:51,2023-05-01 15:51,29.14,139.14
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,2023-05-01 09:34,,
TOTAL,,,,,,,,,94.08,591.26
