ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_579,1,O_326,2023-05-01 08:00,0,,,
MF2305126290579,VEH_579,2,D_2008,2023-05-01 09:29,211.38,60,2023-05-01 14:00,Yes
,VEH_579,3,O_326,2023-05-01 15:12,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_552,1,O_326,2023-05-01 08:00,0,,,
MF2305126290611,VEH_552,2,D_1414,2023-05-01 08:35,265.42,60,2023-05-01 14:00,Yes
20230501B468215_003,VEH_552,3,D_108,2023-05-01 15:12,0,60,2023-05-01 16:12,Yes
,VEH_552,4,O_326,2023-05-01 17:06,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_574,1,O_326,2023-05-01 08:00,0,,,
MF2305126290591,VEH_574,2,D_2010,2023-05-01 08:40,259.55,60,2023-05-01 14:00,Yes
,VEH_574,3,O_326,2023-05-01 14:36,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_596,1,O_326,2023-05-01 08:00,0,,,
MF2305126290571,VEH_596,2,D_1404,2023-05-01 08:53,247.03,60,2023-05-01 14:00,Yes
,VEH_596,3,O_326,2023-05-01 14:44,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_578,1,O_326,2023-05-01 08:00,0,,,
20230501B468081_001,VEH_578,2,D_108,2023-05-01 08:53,247.39,60,2023-05-01 14:00,Yes
,VEH_578,3,O_326,2023-05-01 14:53,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_597,1,O_326,2023-05-01 08:00,0,,,
20230501B468161_001,VEH_597,2,D_108,2023-05-01 08:53,247.39,60,2023-05-01 14:00,Yes
20230501B468157_001,VEH_597,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
,VEH_597,4,O_326,2023-05-01 15:53,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_591,1,O_326,2023-05-01 08:00,0,,,
20230501B467167_001,VEH_591,2,D_108,2023-05-01 08:53,247.39,60,2023-05-01 14:00,Yes
,VEH_591,3,O_326,2023-05-01 14:53,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_610,1,O_326,2023-05-01 08:00,0,,,
MF2305126290599,VEH_610,2,D_1658,2023-05-01 09:41,199.1,60,2023-05-01 14:00,Yes
,VEH_610,3,O_326,2023-05-01 15:43,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_589,1,O_326,2023-05-01 08:00,0,,,
20230501B468346_001,VEH_589,2,D_108,2023-05-01 08:53,247.39,60,2023-05-01 14:00,Yes
,VEH_589,3,O_326,2023-05-01 14:53,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
