ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_385,1,O_179,2023-05-01 08:00,0,,,
MF2305016189707,VEH_385,2,D_1208,2023-05-01 09:30,210.43,60,2023-05-01 14:00,Yes
MF2305096266772,VEH_385,3,D_1778,2023-05-01 15:41,0,60,2023-05-01 16:41,Yes
,VEH_385,4,O_179,2023-05-01 16:59,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_388,1,O_179,2023-05-01 08:00,0,,,
20230501B467821_001,VEH_388,2,D_108,2023-05-01 09:28,211.84,60,2023-05-01 14:00,Yes
20230501B468063_001,VEH_388,3,D_108,2023-05-01 14:00,0,60,2023-05-01 15:00,Yes
MF2305016189698,VEH_388,4,D_1204,2023-05-01 18:02,1137.54,60,2023-05-02 14:00,Yes
,VEH_388,5,O_179,2023-05-02 15:43,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
