ORD_NO,VehicleID,Sequence,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
,VEH_4,1,O_9,2023-05-01 00:00,0,,,
M18434020,VEH_4,2,D_301,2023-05-01 00:23,0,60,2023-05-01 01:23,Yes
M18434024,VEH_4,3,D_301,2023-05-01 01:23,0,60,2023-05-01 02:23,Yes
,VEH_4,4,O_9,2023-05-01 02:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_31,1,O_9,2023-05-01 00:00,0,,,
MF2304276175993,VEH_31,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
,VEH_31,3,O_9,2023-05-01 01:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_40,1,O_9,2023-05-01 00:00,0,,,
MF2304276176045,VEH_40,2,D_1180,2023-05-01 00:17,0,60,2023-05-01 01:17,Yes
MF2305036201264,VEH_40,3,D_1180,2023-05-01 01:17,0,60,2023-05-01 02:17,Yes
,VEH_40,4,O_9,2023-05-01 02:35,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_175,1,O_50,2023-05-01 00:00,0,,,
MF2305116280542,VEH_175,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
MF2305116280524,VEH_175,3,D_1748,2023-05-01 01:55,0,60,2023-05-01 02:55,Yes
,VEH_175,4,O_50,2023-05-01 03:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_158,1,O_50,2023-05-01 00:00,0,,,
MF2305116280560,VEH_158,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_158,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_166,1,O_50,2023-05-01 00:00,0,,,
MF2305116279518,VEH_166,2,D_1748,2023-05-01 00:55,0,60,2023-05-01 01:55,Yes
,VEH_166,3,O_50,2023-05-01 02:50,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_187,1,O_62,2023-05-01 00:00,0,,,
M18384924,VEH_187,2,D_268,2023-05-01 00:28,0,60,2023-05-01 01:28,Yes
M18385505,VEH_187,3,D_352,2023-05-01 03:37,0,60,2023-05-01 04:37,Yes
,VEH_187,4,O_62,2023-05-01 07:18,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_260,1,O_144,2023-05-01 00:00,0,,,
M18385429,VEH_260,2,D_310,2023-05-01 01:44,0,60,2023-05-01 02:44,Yes
,VEH_260,3,O_144,2023-05-01 04:29,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_252,1,O_144,2023-05-01 00:00,0,,,
MF2305036206448,VEH_252,2,D_1473,2023-05-01 01:45,0,60,2023-05-01 02:45,Yes
,VEH_252,3,O_144,2023-05-01 04:29,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_354,1,O_179,2023-05-01 00:00,0,,,
MF2305016190961,VEH_354,2,D_1216,2023-05-01 02:31,0,60,2023-05-01 03:31,Yes
,VEH_354,3,O_179,2023-05-01 05:59,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_609,1,O_326,2023-05-01 00:00,0,,,
MF2305176319069,VEH_609,2,D_1593,2023-05-01 00:00,0,60,2023-05-01 01:00,Yes
MF2305126290595,VEH_609,3,D_1405,2023-05-01 02:37,0,60,2023-05-01 03:37,Yes
MF2305316392523,VEH_609,4,D_2866,2023-05-01 04:08,0,60,2023-05-01 05:08,Yes
,VEH_609,5,O_326,2023-05-01 06:46,0,60,,temp
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
,VEH_622,1,O_326,2023-05-01 00:00,0,,,
MF2305126290575,VEH_622,2,D_2007,2023-05-01 01:28,0,60,2023-05-01 02:28,Yes
MF2305176319077,VEH_622,3,D_1593,2023-05-01 03:47,0,60,2023-05-01 04:47,Yes
