Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#1,0,start,0,26.202407813445788,26.202407813445788,0,0,0,0.0,80
#1,0,service,11,26.202407813445788,13.211623449402603,1057.42,22.58,1140,22.58,98.07
#1,0,service,23,13.211623449402603,0.0,0,1346.86,1406.86,229.44,263.55
#1,0,finish,0,0.0,0.0,0,1616.68,1676.68,439.26,431.41
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#2,2,start,0,35.763883525308614,35.763883525308614,0,0,0,0.0,150
#2,2,service,25,35.763883525308614,7.725810512587209,925.79,154.21,1140,154.21,335.05
#2,2,service,13,7.725810512587209,0.0,0,1235.92,1295.92,250.13,450.16
#2,2,finish,0,0.0,0.0,0,1374.63,1434.63,328.84,544.61
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#3,0,start,0,19.050720215675256,19.050720215675256,0,0,0,0.0,80
#3,0,service,20,19.050720215675256,0.0,910.64,169.36,1140,169.36,215.49
#3,0,finish,0,0.0,0.0,0,1314.0,1374.0,343.36,354.69
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#4,0,start,0,26.35357452023224,26.35357452023224,0,0,0,0.0,80
#4,0,service,3,26.35357452023224,0.0,902.9,177.1,1140,177.1,221.68
#4,0,finish,0,0.0,0.0,0,1317.61,1377.61,354.71,363.77
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#5,3,start,0,43.501995044365586,43.501995044365586,0,0,0,0.0,200
#5,3,service,9,43.501995044365586,21.966457256113205,772.85,307.15,1140,307.15,660.73
#5,3,service,18,21.966457256113205,0.0,0,1443.84,1503.84,610.99,1116.48
#5,3,finish,0,0.0,0.0,0,1534.29,1594.29,641.44,1162.17
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
