,VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
0,VEH_2,9,130.69919758755572,3590.1970329501573,4980,3297.74,540,1142.26,2952.157626360126,80,2872.157626360126
1,VEH_3,8,170.0286360341167,2603.161465213526,4980,3560.4300000000003,480,939.5699999999999,2162.529172170821,80,2082.529172170821
2,VEH_4,13,218.42440068120735,5512.6579254659555,8640,6911.32,780,948.6799999999998,4490.126340372764,80,4410.126340372764
3,VEH_5,8,153.3189530243558,2681.7067021384337,6120,4431.13,480,1208.87,2225.365361710747,80,2145.365361710747
4,VEH_6,9,156.12722444502145,3444.5128751258494,5640,4267.26,540,832.7399999999999,2835.6103001006795,80,2755.6103001006795
5,VEH_7,6,97.42985085701926,3539.223926536425,4200,3397.7799999999997,360,442.22,2911.3791412291403,80,2831.3791412291403
6,VEH_8,5,88.95809021430219,2558.5870318538605,3840,2984.81,300,555.19,2126.8696254830884,80,2046.8696254830884
7,VEH_9,6,135.01803599342574,1766.8102483464947,5040,3503.48,360,1176.52,1493.448198677196,80,1413.448198677196
8,VEH_10,14,227.60633571624774,3404.4892810054907,7020,4581.4800000000005,840,1598.5199999999995,2803.591424804393,80,2723.591424804393
9,VEH_11,13,202.63521950744095,4294.96277556127,5940,3968.87,780,1191.13,3515.9702204490163,80,3435.9702204490163
10,VEH_12,13,342.1325710788214,4925.99237024558,7380,4255.8,780,2344.2,5035.99237024558,110,4925.99237024558
11,VEH_13,13,281.8237609355669,4583.019775141176,6420,4437.92,780,1202.08,4693.019775141176,110,4583.019775141176
12,VEH_14,15,324.95864738489286,5896.245465640752,8520,5725.39,900,1894.61,6006.245465640752,110,5896.245465640752
13,VEH_15,7,134.3235699345429,1758.5122258624344,4200,1543.1599999999999,420,2236.84,1868.5122258624344,110,1758.5122258624344
14,VEH_16,6,136.84817795924695,2167.131601512963,6300,4859.0,360,1081.0,2277.131601512963,110,2167.131601512963
15,VEH_17,13,265.5775921747338,4218.315371301725,8520,5028.83,780,2711.1699999999996,4328.315371301725,110,4218.315371301725
16,VEH_18,11,238.33307642110398,3764.7002157239945,7080,4437.98,660,1982.02,3874.7002157239945,110,3764.7002157239945
